inst#,actual,predicted,error,prediction
102,1:?,1:yes,,1
103,1:?,1:yes,,0.938
104,1:?,1:yes,,1
105,1:?,2:no,,0.963
106,1:?,2:no,,0.936
107,1:?,2:no,,0.908
108,1:?,1:yes,,0.993
109,1:?,1:yes,,0.818
110,1:?,2:no,,0.913
111,1:?,1:yes,,0.907
112,1:?,1:yes,,0.985
113,1:?,2:no,,0.998
114,1:?,1:yes,,0.968
115,1:?,1:yes,,0.999
116,1:?,2:no,,0.913
117,1:?,1:yes,,1
118,1:?,1:yes,,1
119,1:?,1:yes,,0.921
120,1:?,1:yes,,1
121,1:?,1:yes,,0.7
122,1:?,2:no,,0.96
123,1:?,1:yes,,0.538
124,1:?,1:yes,,0.536
125,1:?,2:no,,0.921
126,1:?,1:yes,,1
127,1:?,1:yes,,0.999
128,1:?,2:no,,0.707
129,1:?,1:yes,,1
130,1:?,2:no,,0.52
131,1:?,1:yes,,0.745
132,1:?,1:yes,,1
133,1:?,1:yes,,0.999
134,1:?,2:no,,0.996
135,1:?,2:no,,0.948
136,1:?,2:no,,0.864
137,1:?,1:yes,,1
138,1:?,2:no,,1
139,1:?,1:yes,,0.561
140,1:?,2:no,,1
141,1:?,1:yes,,0.999
142,1:?,2:no,,0.977
143,1:?,2:no,,0.637
144,1:?,1:yes,,0.826
145,1:?,2:no,,0.699
146,1:?,1:yes,,0.963
147,1:?,1:yes,,1
148,1:?,1:yes,,0.977
149,1:?,1:yes,,0.871
150,1:?,2:no,,0.944
151,1:?,1:yes,,1
152,1:?,2:no,,0.982
153,1:?,1:yes,,0.879
154,1:?,1:yes,,0.65
155,1:?,1:yes,,0.996
156,1:?,1:yes,,1
157,1:?,1:yes,,1
158,1:?,2:no,,0.984
159,1:?,2:no,,1
160,1:?,1:yes,,0.966
161,1:?,1:yes,,0.998
162,1:?,1:yes,,0.831
163,1:?,1:yes,,0.949
164,1:?,1:yes,,0.982
165,1:?,1:yes,,0.961
166,1:?,1:yes,,0.933
167,1:?,1:yes,,0.903
168,1:?,1:yes,,0.975
169,1:?,1:yes,,1
170,1:?,1:yes,,0.999
171,1:?,1:yes,,0.997
172,1:?,2:no,,0.982
173,1:?,1:yes,,0.835
174,1:?,1:yes,,0.912
175,1:?,1:yes,,0.791
176,1:?,1:yes,,0.929
177,1:?,1:yes,,0.829
178,1:?,2:no,,0.958
179,1:?,1:yes,,1
180,1:?,2:no,,0.989
181,1:?,1:yes,,0.566
182,1:?,1:yes,,0.998
183,1:?,2:no,,0.511
184,1:?,1:yes,,0.885
185,1:?,2:no,,0.999
186,1:?,1:yes,,0.525
187,1:?,1:yes,,0.852
188,1:?,1:yes,,0.906
189,1:?,2:no,,0.979
190,1:?,2:no,,0.506
191,1:?,1:yes,,1
192,1:?,1:yes,,0.976
193,1:?,2:no,,0.977
194,1:?,1:yes,,0.96
195,1:?,1:yes,,1
196,1:?,1:yes,,0.878
197,1:?,2:no,,0.976
198,1:?,1:yes,,1
199,1:?,2:no,,0.999
200,1:?,1:yes,,0.958
201,1:?,1:yes,,1
202,1:?,1:yes,,1
203,1:?,2:no,,0.958
204,1:?,1:yes,,0.935
205,1:?,1:yes,,0.981
206,1:?,2:no,,0.944
207,1:?,1:yes,,0.994
208,1:?,2:no,,0.641
209,1:?,1:yes,,0.98
210,1:?,1:yes,,0.875
211,1:?,2:no,,0.992
212,1:?,1:yes,,0.798
213,1:?,1:yes,,1
214,1:?,1:yes,,0.543
215,1:?,1:yes,,0.919
216,1:?,2:no,,0.656
217,1:?,2:no,,0.809
218,1:?,1:yes,,0.974
219,1:?,2:no,,0.96
220,1:?,2:no,,0.682
221,1:?,2:no,,0.593
222,1:?,1:yes,,0.997
223,1:?,1:yes,,0.875
224,1:?,1:yes,,1
225,1:?,2:no,,0.994
226,1:?,2:no,,0.929
227,1:?,1:yes,,1
228,1:?,1:yes,,1
229,1:?,2:no,,0.908
230,1:?,1:yes,,0.837
231,1:?,1:yes,,0.963
232,1:?,1:yes,,1
233,1:?,1:yes,,1
234,1:?,1:yes,,0.941
235,1:?,1:yes,,0.728
236,1:?,1:yes,,1
237,1:?,2:no,,0.921
238,1:?,2:no,,0.728
239,1:?,1:yes,,0.954
240,1:?,2:no,,0.74
241,1:?,1:yes,,0.881
242,1:?,2:no,,0.833
243,1:?,1:yes,,0.997
244,1:?,1:yes,,0.701
245,1:?,1:yes,,0.881
246,1:?,2:no,,0.916
247,1:?,1:yes,,1
248,1:?,1:yes,,0.802
249,1:?,1:yes,,0.955
250,1:?,1:yes,,1
251,1:?,1:yes,,0.822
252,1:?,1:yes,,1
253,1:?,1:yes,,0.999
254,1:?,2:no,,0.896
255,1:?,1:yes,,0.826
256,1:?,1:yes,,1
257,1:?,1:yes,,0.659
258,1:?,1:yes,,0.89
259,1:?,1:yes,,0.705
260,1:?,1:yes,,1
261,1:?,1:yes,,0.672
262,1:?,1:yes,,0.882
263,1:?,1:yes,,1
264,1:?,1:yes,,1
265,1:?,1:yes,,0.906
266,1:?,1:yes,,1
267,1:?,2:no,,0.868
268,1:?,1:yes,,0.965
269,1:?,1:yes,,0.948
270,1:?,1:yes,,0.999
271,1:?,2:no,,1
272,1:?,1:yes,,0.967
273,1:?,1:yes,,1
274,1:?,1:yes,,0.636
275,1:?,1:yes,,0.958
276,1:?,1:yes,,1
277,1:?,1:yes,,0.992
278,1:?,1:yes,,0.997
279,1:?,2:no,,0.505
280,1:?,2:no,,0.958
281,1:?,1:yes,,1
282,1:?,1:yes,,0.915
283,1:?,1:yes,,0.695
284,1:?,1:yes,,1
285,1:?,1:yes,,0.942
286,1:?,1:yes,,1
287,1:?,2:no,,1
288,1:?,2:no,,1
289,1:?,2:no,,0.705
290,1:?,1:yes,,0.935
291,1:?,1:yes,,1
292,1:?,1:yes,,0.997
293,1:?,1:yes,,1
294,1:?,1:yes,,1
295,1:?,1:yes,,0.844
296,1:?,1:yes,,0.687
297,1:?,2:no,,0.647
298,1:?,1:yes,,0.993
299,1:?,2:no,,0.943
300,1:?,1:yes,,0.576
301,1:?,2:no,,1
302,1:?,2:no,,0.885
303,1:?,1:yes,,0.709
304,1:?,1:yes,,0.942
305,1:?,1:yes,,0.993
306,1:?,1:yes,,1
307,1:?,1:yes,,0.825
308,1:?,1:yes,,0.841
309,1:?,1:yes,,0.945
310,1:?,1:yes,,1
311,1:?,1:yes,,1
312,1:?,1:yes,,0.995
313,1:?,1:yes,,1
314,1:?,2:no,,0.952
315,1:?,1:yes,,0.901
316,1:?,1:yes,,0.962
317,1:?,2:no,,0.959
318,1:?,2:no,,0.989
319,1:?,2:no,,0.999
320,1:?,1:yes,,0.983
321,1:?,1:yes,,0.627
322,1:?,1:yes,,1
323,1:?,1:yes,,0.751
324,1:?,1:yes,,0.996
325,1:?,1:yes,,1
326,1:?,1:yes,,1
327,1:?,1:yes,,0.678
328,1:?,2:no,,0.863
329,1:?,1:yes,,0.847
330,1:?,2:no,,0.974
331,1:?,2:no,,0.968
332,1:?,1:yes,,0.999
333,1:?,2:no,,0.73
334,1:?,2:no,,0.61
335,1:?,1:yes,,0.839
336,1:?,1:yes,,1
337,1:?,1:yes,,0.872
338,1:?,2:no,,0.995
339,1:?,1:yes,,0.94
340,1:?,1:yes,,0.882
341,1:?,2:no,,0.804
342,1:?,2:no,,0.607
343,1:?,1:yes,,0.901
344,1:?,1:yes,,1
345,1:?,1:yes,,0.881
346,1:?,1:yes,,0.803
347,1:?,1:yes,,0.997
348,1:?,1:yes,,1
349,1:?,1:yes,,0.913
350,1:?,1:yes,,0.956
351,1:?,1:yes,,0.985
352,1:?,1:yes,,1
353,1:?,1:yes,,0.588
354,1:?,1:yes,,0.894
355,1:?,1:yes,,0.747
356,1:?,1:yes,,0.982
357,1:?,1:yes,,0.898
358,1:?,1:yes,,0.996
359,1:?,1:yes,,0.987
360,1:?,1:yes,,1
361,1:?,1:yes,,1
362,1:?,1:yes,,0.997
363,1:?,1:yes,,0.922
364,1:?,1:yes,,0.99
365,1:?,1:yes,,0.993
366,1:?,1:yes,,0.569
367,1:?,1:yes,,1
368,1:?,1:yes,,0.947
369,1:?,1:yes,,0.997
370,1:?,1:yes,,1
371,1:?,1:yes,,0.999
372,1:?,1:yes,,0.811
373,1:?,2:no,,0.878
374,1:?,1:yes,,0.999
375,1:?,1:yes,,1
376,1:?,1:yes,,1
377,1:?,1:yes,,1
378,1:?,1:yes,,0.996
379,1:?,1:yes,,0.995
380,1:?,2:no,,0.909
381,1:?,2:no,,0.954
382,1:?,2:no,,0.966
383,1:?,1:yes,,0.946
384,1:?,1:yes,,0.822
385,1:?,1:yes,,0.956
386,1:?,1:yes,,0.996
387,1:?,1:yes,,0.998
388,1:?,1:yes,,1
389,1:?,1:yes,,1
390,1:?,1:yes,,0.996
391,1:?,1:yes,,0.985
392,1:?,1:yes,,0.89
393,1:?,2:no,,0.929
394,1:?,1:yes,,0.922
395,1:?,1:yes,,0.999
396,1:?,2:no,,0.997
397,1:?,1:yes,,0.928
398,1:?,2:no,,0.957
399,1:?,1:yes,,0.565
400,1:?,2:no,,0.957
401,1:?,1:yes,,0.999
402,1:?,1:yes,,0.996
403,1:?,1:yes,,0.998
404,1:?,2:no,,0.669
405,1:?,1:yes,,0.999
406,1:?,1:yes,,0.793
407,1:?,1:yes,,0.984
408,1:?,1:yes,,0.948
409,1:?,1:yes,,0.99
410,1:?,1:yes,,0.998
411,1:?,1:yes,,0.999
412,1:?,1:yes,,0.996
413,1:?,1:yes,,0.987
414,1:?,1:yes,,0.84
415,1:?,1:yes,,0.976
416,1:?,1:yes,,1
417,1:?,1:yes,,0.502
418,1:?,1:yes,,1
419,1:?,1:yes,,1
420,1:?,1:yes,,1
421,1:?,1:yes,,0.957
422,1:?,2:no,,0.934
423,1:?,1:yes,,0.673
424,1:?,2:no,,0.62
425,1:?,1:yes,,0.966
426,1:?,1:yes,,1
427,1:?,2:no,,0.954
428,1:?,1:yes,,0.92
429,1:?,1:yes,,1
430,1:?,1:yes,,0.999
431,1:?,2:no,,0.997
432,1:?,1:yes,,1
433,1:?,1:yes,,0.966
434,1:?,1:yes,,0.929
435,1:?,1:yes,,1
436,1:?,1:yes,,1
437,1:?,1:yes,,1
438,1:?,1:yes,,0.858
439,1:?,1:yes,,0.599
440,1:?,1:yes,,0.998
441,1:?,1:yes,,0.931
442,1:?,1:yes,,0.995
443,1:?,1:yes,,0.722
444,1:?,1:yes,,0.994
445,1:?,2:no,,0.993
446,1:?,2:no,,0.912
447,1:?,1:yes,,1
448,1:?,2:no,,0.985
449,1:?,1:yes,,1
450,1:?,1:yes,,0.996
451,1:?,1:yes,,1
452,1:?,1:yes,,0.935
453,1:?,1:yes,,0.657
454,1:?,1:yes,,0.917
455,1:?,1:yes,,0.932
456,1:?,2:no,,0.957
457,1:?,1:yes,,0.731
458,1:?,1:yes,,0.998
459,1:?,1:yes,,0.996
460,1:?,1:yes,,1
461,1:?,1:yes,,0.996
462,1:?,1:yes,,0.729
463,1:?,1:yes,,0.997
464,1:?,1:yes,,0.908
465,1:?,1:yes,,0.895
466,1:?,1:yes,,0.999
467,1:?,2:no,,1
468,1:?,1:yes,,0.996
469,1:?,2:no,,0.726
470,1:?,1:yes,,0.773
471,1:?,1:yes,,1
472,1:?,2:no,,0.667
473,1:?,1:yes,,0.996
474,1:?,1:yes,,0.99
475,1:?,1:yes,,0.99
476,1:?,1:yes,,0.996
477,1:?,1:yes,,1
478,1:?,1:yes,,0.97
479,1:?,1:yes,,0.996
480,1:?,2:no,,0.998
481,1:?,1:yes,,1
482,1:?,1:yes,,0.886
483,1:?,1:yes,,0.894
484,1:?,1:yes,,0.996
485,1:?,1:yes,,1
486,1:?,1:yes,,0.8
487,1:?,1:yes,,0.639
488,1:?,2:no,,0.634
489,1:?,2:no,,0.707
490,1:?,1:yes,,0.684
491,1:?,1:yes,,0.961
492,1:?,1:yes,,0.53
493,1:?,1:yes,,0.975
494,1:?,1:yes,,0.93
495,1:?,1:yes,,0.986
496,1:?,2:no,,0.998
497,1:?,1:yes,,0.89
498,1:?,1:yes,,0.959
499,1:?,1:yes,,0.883
500,1:?,1:yes,,1
501,1:?,1:yes,,0.812
502,1:?,1:yes,,1
503,1:?,1:yes,,0.906
504,1:?,1:yes,,0.998
505,1:?,1:yes,,0.878
506,1:?,1:yes,,0.905
507,1:?,1:yes,,0.999
508,1:?,1:yes,,1
509,1:?,2:no,,0.988
510,1:?,1:yes,,0.934
511,1:?,1:yes,,0.962
512,1:?,1:yes,,0.998
513,1:?,2:no,,0.908
514,1:?,1:yes,,0.806
515,1:?,1:yes,,1
516,1:?,1:yes,,1
517,1:?,2:no,,0.856
518,1:?,1:yes,,0.89
519,1:?,1:yes,,0.976
520,1:?,1:yes,,0.996
521,1:?,1:yes,,0.888
522,1:?,1:yes,,0.821
523,1:?,2:no,,1
524,1:?,1:yes,,1
525,1:?,2:no,,0.525
526,1:?,1:yes,,0.835
527,1:?,2:no,,0.979
528,1:?,1:yes,,0.939
529,1:?,2:no,,0.837
530,1:?,1:yes,,0.998
531,1:?,1:yes,,0.784
532,1:?,1:yes,,0.849
533,1:?,1:yes,,0.727
534,1:?,1:yes,,0.888
535,1:?,1:yes,,0.958
536,1:?,1:yes,,0.649
537,1:?,1:yes,,0.996
538,1:?,1:yes,,0.99
539,1:?,1:yes,,0.998
540,1:?,1:yes,,1
541,1:?,1:yes,,0.973
542,1:?,1:yes,,0.91
543,1:?,1:yes,,1
544,1:?,1:yes,,0.955
545,1:?,2:no,,0.847
546,1:?,2:no,,0.89
547,1:?,2:no,,0.892
548,1:?,1:yes,,0.963
549,1:?,1:yes,,0.765
550,1:?,1:yes,,1
551,1:?,1:yes,,0.879
552,1:?,1:yes,,0.998
553,1:?,1:yes,,0.834
554,1:?,1:yes,,1
555,1:?,1:yes,,0.996
556,1:?,1:yes,,0.996
557,1:?,1:yes,,0.802
558,1:?,1:yes,,1
559,1:?,1:yes,,0.976
560,1:?,2:no,,0.902
561,1:?,1:yes,,0.944
562,1:?,2:no,,0.64
563,1:?,1:yes,,0.918
564,1:?,1:yes,,1
565,1:?,1:yes,,0.749
566,1:?,2:no,,0.993
567,1:?,2:no,,0.996
568,1:?,1:yes,,0.773
569,1:?,1:yes,,0.692
570,1:?,1:yes,,1
571,1:?,1:yes,,0.884
572,1:?,2:no,,0.872
573,1:?,1:yes,,0.991
574,1:?,1:yes,,0.739
575,1:?,1:yes,,0.944
576,1:?,1:yes,,0.747
577,1:?,1:yes,,0.951
578,1:?,2:no,,0.632
579,1:?,1:yes,,1
580,1:?,1:yes,,0.696
581,1:?,1:yes,,0.999
582,1:?,1:yes,,0.999
583,1:?,1:yes,,1
584,1:?,1:yes,,0.971
585,1:?,1:yes,,1
586,1:?,1:yes,,0.914
587,1:?,1:yes,,1
588,1:?,1:yes,,0.986
589,1:?,1:yes,,1
590,1:?,2:no,,0.997
591,1:?,1:yes,,0.998
592,1:?,1:yes,,0.956
593,1:?,1:yes,,0.904
594,1:?,1:yes,,0.996
595,1:?,2:no,,1
596,1:?,2:no,,1
597,1:?,1:yes,,1
598,1:?,1:yes,,0.732
599,1:?,1:yes,,0.586
600,1:?,1:yes,,0.647
601,1:?,1:yes,,0.996
602,1:?,1:yes,,0.998
603,1:?,1:yes,,1
604,1:?,1:yes,,1
605,1:?,1:yes,,0.996
606,1:?,1:yes,,1
607,1:?,1:yes,,0.998
608,1:?,2:no,,1
609,1:?,1:yes,,0.986
610,1:?,2:no,,0.88
611,1:?,1:yes,,1
612,1:?,2:no,,0.959
613,1:?,2:no,,0.909
614,1:?,1:yes,,0.898
615,1:?,2:no,,0.629
616,1:?,1:yes,,1
617,1:?,1:yes,,0.831
618,1:?,1:yes,,0.999
619,1:?,1:yes,,0.968
620,1:?,2:no,,0.994
621,1:?,2:no,,0.881
622,1:?,1:yes,,0.994
623,1:?,2:no,,0.984
624,1:?,1:yes,,0.829
625,1:?,2:no,,0.964
626,1:?,1:yes,,0.92
627,1:?,1:yes,,0.954
628,1:?,1:yes,,0.96
629,1:?,2:no,,0.805
630,1:?,1:yes,,0.964
631,1:?,1:yes,,0.965
632,1:?,1:yes,,1
633,1:?,1:yes,,0.875
634,1:?,1:yes,,0.906
635,1:?,1:yes,,0.837
636,1:?,1:yes,,0.66
637,1:?,1:yes,,1
638,1:?,1:yes,,0.931
639,1:?,2:no,,0.998
640,1:?,1:yes,,0.984
641,1:?,1:yes,,0.598
642,1:?,1:yes,,0.921
643,1:?,1:yes,,0.979
644,1:?,1:yes,,0.78
645,1:?,1:yes,,0.951
646,1:?,2:no,,1
647,1:?,2:no,,0.507
648,1:?,1:yes,,0.996
649,1:?,1:yes,,0.998
650,1:?,1:yes,,0.798
651,1:?,1:yes,,0.999
652,1:?,1:yes,,1
653,1:?,2:no,,0.99
654,1:?,1:yes,,0.873
655,1:?,1:yes,,1
656,1:?,1:yes,,0.941
657,1:?,1:yes,,1
658,1:?,1:yes,,0.946
659,1:?,1:yes,,0.996
660,1:?,1:yes,,0.925
661,1:?,1:yes,,0.918
662,1:?,1:yes,,1
663,1:?,1:yes,,0.997
664,1:?,1:yes,,0.996
665,1:?,1:yes,,0.918
666,1:?,1:yes,,0.549
667,1:?,1:yes,,0.979
668,1:?,1:yes,,0.992
669,1:?,2:no,,0.887
670,1:?,1:yes,,0.86
671,1:?,1:yes,,1
672,1:?,1:yes,,1
673,1:?,1:yes,,0.931
674,1:?,1:yes,,0.904
675,1:?,1:yes,,0.967
676,1:?,1:yes,,0.996
677,1:?,1:yes,,0.976
678,1:?,1:yes,,0.798
679,1:?,1:yes,,0.672
680,1:?,1:yes,,0.992
681,1:?,1:yes,,0.999
682,1:?,1:yes,,0.838
683,1:?,1:yes,,1
684,1:?,1:yes,,1
685,1:?,1:yes,,0.944
686,1:?,1:yes,,0.937
687,1:?,1:yes,,0.945
688,1:?,1:yes,,1
689,1:?,1:yes,,0.852
690,1:?,1:yes,,1
691,1:?,1:yes,,1
692,1:?,1:yes,,0.993
693,1:?,1:yes,,1
694,1:?,1:yes,,0.943
695,1:?,1:yes,,0.95
696,1:?,1:yes,,0.942
697,1:?,1:yes,,0.98
698,1:?,1:yes,,0.978
699,1:?,1:yes,,0.974
700,1:?,1:yes,,1
701,1:?,1:yes,,1
702,1:?,1:yes,,0.998
703,1:?,1:yes,,1
704,1:?,1:yes,,1
705,1:?,1:yes,,0.935
706,1:?,2:no,,1
707,1:?,1:yes,,1
708,1:?,1:yes,,1
709,1:?,1:yes,,0.993
710,1:?,1:yes,,0.997
711,1:?,2:no,,0.687
712,1:?,1:yes,,1
713,1:?,1:yes,,0.912
714,1:?,1:yes,,0.998
715,1:?,1:yes,,0.843
716,1:?,1:yes,,0.923
717,1:?,1:yes,,0.923
718,1:?,1:yes,,0.831
719,1:?,1:yes,,1
720,1:?,1:yes,,0.998
721,1:?,1:yes,,0.952
722,1:?,1:yes,,0.997
723,1:?,1:yes,,0.933
724,1:?,1:yes,,0.991
725,1:?,1:yes,,0.992
726,1:?,1:yes,,0.709
727,1:?,1:yes,,0.797
728,1:?,1:yes,,1
729,1:?,1:yes,,1
730,1:?,1:yes,,0.983
731,1:?,1:yes,,0.983
732,1:?,1:yes,,1
733,1:?,1:yes,,0.959
734,1:?,1:yes,,1
735,1:?,1:yes,,0.92
736,1:?,1:yes,,1
737,1:?,1:yes,,0.997
738,1:?,1:yes,,0.978
739,1:?,1:yes,,0.552
740,1:?,1:yes,,0.987
741,1:?,1:yes,,0.985
742,1:?,1:yes,,1
743,1:?,1:yes,,0.996
744,1:?,2:no,,0.941
745,1:?,2:no,,0.953
746,1:?,1:yes,,1
747,1:?,1:yes,,1
748,1:?,1:yes,,0.971
749,1:?,1:yes,,0.803
750,1:?,2:no,,0.832
751,1:?,1:yes,,0.902
752,1:?,2:no,,0.92
753,1:?,1:yes,,0.984
754,1:?,1:yes,,0.987
755,1:?,2:no,,0.877
756,1:?,1:yes,,0.994
757,1:?,2:no,,0.993
758,1:?,1:yes,,0.969
759,1:?,1:yes,,0.705
760,1:?,1:yes,,0.937
761,1:?,1:yes,,0.943
762,1:?,2:no,,0.569
763,1:?,1:yes,,0.928
764,1:?,1:yes,,1
765,1:?,2:no,,0.967
766,1:?,1:yes,,0.996
767,1:?,1:yes,,0.991
768,1:?,1:yes,,0.993
769,1:?,1:yes,,0.994
770,1:?,1:yes,,0.999
771,1:?,1:yes,,0.997
772,1:?,1:yes,,1
773,1:?,1:yes,,0.876
774,1:?,1:yes,,0.956
775,1:?,1:yes,,1
776,1:?,1:yes,,0.667
777,1:?,1:yes,,0.717
778,1:?,1:yes,,0.92
779,1:?,1:yes,,1
780,1:?,1:yes,,0.982
781,1:?,1:yes,,1
782,1:?,1:yes,,1
783,1:?,1:yes,,0.968
784,1:?,1:yes,,0.945
785,1:?,1:yes,,0.947
786,1:?,1:yes,,0.907
787,1:?,1:yes,,0.931
788,1:?,2:no,,0.984
789,1:?,1:yes,,0.986
790,1:?,2:no,,0.9
791,1:?,1:yes,,0.888
792,1:?,1:yes,,0.962
793,1:?,1:yes,,0.577
794,1:?,1:yes,,0.971
795,1:?,1:yes,,0.919
796,1:?,1:yes,,1
797,1:?,1:yes,,0.915
798,1:?,1:yes,,0.662
799,1:?,1:yes,,0.875
800,1:?,1:yes,,0.967
801,1:?,1:yes,,0.946
802,1:?,1:yes,,0.933
803,1:?,1:yes,,0.998
804,1:?,1:yes,,0.877
805,1:?,1:yes,,0.641
806,1:?,1:yes,,0.993
807,1:?,1:yes,,0.912
808,1:?,1:yes,,0.918
809,1:?,1:yes,,0.976
810,1:?,2:no,,1
811,1:?,1:yes,,1
812,1:?,1:yes,,0.836
813,1:?,1:yes,,0.963
814,1:?,2:no,,0.785
815,1:?,1:yes,,1
816,1:?,1:yes,,0.97
817,1:?,1:yes,,1
818,1:?,1:yes,,1
819,1:?,1:yes,,1
820,1:?,1:yes,,0.946
821,1:?,1:yes,,0.992
822,1:?,1:yes,,1
823,1:?,1:yes,,1
824,1:?,1:yes,,0.925
825,1:?,1:yes,,0.669
826,1:?,1:yes,,0.945
827,1:?,1:yes,,0.926
828,1:?,1:yes,,0.985
829,1:?,1:yes,,0.958
830,1:?,1:yes,,0.785
831,1:?,1:yes,,0.942
832,1:?,1:yes,,0.99
833,1:?,2:no,,0.862
834,1:?,1:yes,,0.706
835,1:?,1:yes,,0.974
836,1:?,1:yes,,0.751
837,1:?,1:yes,,0.926
838,1:?,1:yes,,0.789
839,1:?,1:yes,,0.969
840,1:?,1:yes,,0.837
841,1:?,2:no,,0.985
842,1:?,1:yes,,0.989
843,1:?,1:yes,,0.997
844,1:?,1:yes,,1
845,1:?,1:yes,,0.949
846,1:?,1:yes,,0.944
847,1:?,1:yes,,0.992
848,1:?,1:yes,,0.906
849,1:?,2:no,,0.973
850,1:?,1:yes,,1
851,1:?,2:no,,0.544
852,1:?,1:yes,,1
853,1:?,1:yes,,0.992
854,1:?,1:yes,,1
855,1:?,1:yes,,1
856,1:?,1:yes,,0.947
857,1:?,1:yes,,1
858,1:?,1:yes,,1
859,1:?,1:yes,,0.823
860,1:?,2:no,,0.662
861,1:?,1:yes,,1
862,1:?,1:yes,,0.984
863,1:?,1:yes,,0.929
864,1:?,1:yes,,0.941
865,1:?,1:yes,,0.997
866,1:?,2:no,,0.643
867,1:?,1:yes,,0.981
868,1:?,1:yes,,1
869,1:?,1:yes,,1
870,1:?,2:no,,0.801
871,1:?,1:yes,,0.978
872,1:?,1:yes,,1
873,1:?,1:yes,,0.938
874,1:?,1:yes,,0.992
875,1:?,1:yes,,0.992
876,1:?,1:yes,,0.971
877,1:?,1:yes,,1
878,1:?,1:yes,,0.965
879,1:?,1:yes,,0.92
880,1:?,1:yes,,0.666
881,1:?,1:yes,,1
882,1:?,1:yes,,1
883,1:?,1:yes,,0.951
884,1:?,1:yes,,0.912
885,1:?,2:no,,0.924
886,1:?,1:yes,,1
887,1:?,1:yes,,1
888,1:?,1:yes,,0.998
889,1:?,1:yes,,0.952
890,1:?,1:yes,,0.915
891,1:?,1:yes,,1
892,1:?,1:yes,,1
893,1:?,1:yes,,0.961
894,1:?,1:yes,,1
895,1:?,2:no,,0.87
896,1:?,1:yes,,1
897,1:?,1:yes,,1
898,1:?,1:yes,,0.918
899,1:?,1:yes,,0.999
900,1:?,1:yes,,0.999
901,1:?,1:yes,,0.997
902,1:?,1:yes,,0.968
903,1:?,1:yes,,0.994
904,1:?,1:yes,,0.998
905,1:?,1:yes,,1
906,1:?,1:yes,,1
907,1:?,1:yes,,0.854
908,1:?,1:yes,,0.924
909,1:?,1:yes,,0.811
910,1:?,1:yes,,1
911,1:?,1:yes,,0.999
912,1:?,1:yes,,1
913,1:?,1:yes,,1
