indiv_nurse,screen_name,username,tweets,followers,following,SA,bio
,@Karat56,Yetti,170,26,59,"2,422","Yes, I'm a nurse and no, I don't want to see your rash"
,@tsuman_spb,_ _,177,39,49,91,nursing student/18/_Ԍ___ً㋁__ The Super Ball[@supabol]_Ԍ_
,@JaZZyJen23,Jennifer,115,33,85,"1,447","MOMMY first, NURSE second, & everything else after. Strive for excellence and never settle for average if you know you are capable of more. ;)"
,@irisheila,Sheilajoy,193,13,94,"2,543","My husband & I have been married for 24yrs and have four kids. 22 yr old twin sons, 18 yr old son & a 17 yr old daughter. I am a Pediatric nurse."
,@debbiebamberger,Debbie Bamberger,193,74,264,"2,440","Planned Parenthood nurse practitioner, Jewish day school parent, abortion provider, reader, Maine lover."
,@JessBell_,Jess Bell,157,36,266,"2,418","Vet nurse, aspiring to specialise in exotics - cuddler and fixer of all animals. Except spiders. Sorry spiders."
,@tengeric_73,Cristina M. Abrio,151,32,26,"1,222","Mother, Wife, Physics Teacher, Nurse, among others."
,@KelseyMariePott,Kelsey Potter,146,58,108,"1,632",Titus 3:4-7. Disciple of Jesus Christ. Dreamer. Pediatric Registered Nurse.
,@candieME,Loise Mae B.,181,22,135,"1,365","Chef Nurse here! ;) I may not be built like a supermodel, but I've learned to love myself unconditionally."
,@asweeney13710,Amber Sweeney,113,75,73,475,"Professional nurse, wife, and mommy to two French Bulldogs."
,@NurseKelly21,Kelly B,195,54,65,"1,191","trauma nurse, war veteran, educator, and biggest football fan out there!"
,@HuangaHy48zir,Hani Sheilafia,138,1,150,343,My full name : Ershad Ega Radeta ( B ) :D | 21 November 1995 | Nursing school' 3 | Fans Avenged Sevenfold | i cant be perfect | Freak | @IkbalFlash My Husband |
,@katielizwilliam,Katie Williams,133,21,139,"1,753","Cardiac nurse turned corporate drone. MD farm girl who doesn't quite fit in. Swimmer, foodie, jimmy fallon lover-my reason for joining twitter"
,@lenadaltonx,Lena Dalton,102,14,41,"1,635","2nd year student nurse, passion for end of life care, Cavell Nurse's Trust Award finalist, Student Nursing Times finalist, travelling the world with my Charlie"
,@willingham4,Pete Willingham,113,22,164,"1,044","Truck driver, trainer, nurse, emt, vet of alabama national guard, fisherman, tennis player, golfer, computer gamer, dad, Christian, and husband."
,@Stephan021123,Stephanie Mae,194,8,154,651,A nursing student. Band vocalist 
,@greenidokiegirl,Chelsea Smart,144,18,73,"2,387",I'm a nurse :) I'm a mother :)
,@torresjavier661,Javier @ Geo,153,58,165,260,#Welcome  -21yrsOld ۢ Puerto Rico * Taken (H&J;) ۢ Nursing - GayBoy ۢ SC: javier9323 IG: jgeovannie * FallowMe&i;'FallowBack ۢ
,@RahbiAs, _ _,143,59,132,998,
,@mpfeifs,Melissa.,131,68,65,"1,796",Explore. Dream. Discover. Country Music. Nurse. Oilfield Medic.
,@ArtfulSkin,Irina Akkerman,146,44,56,"2,449","Over 13 years of experience as a Nurse Practitioner, now focused on raising my children, taking care of my diabetic son, and making the world a beautiful place!"
,@misaki828_,caroline contaoi,169,85,154,"1,956","to love is to destroy, and that to be loved is to be the one destroyed,staff nurse, football enthusiast ,verified heartbeat,lovatics,lil monster, pet lover:)"
,@BrittanyMynhier,Brittany Mynhier,190,37,92,"1,413","MOTHER of a Beautiful GIRL , Wife of a COAL MINER , NURSING STUDENT"
,@TNAA_RADIO,Travel Nurse AA,113,20,0,"2,210",Follow this account for real time tweets announcing available RADIOLOGY RN travel positions nationwide from Travel Nurse across America.
,@marybeth_archer,MaryBeth,180,145,651,"1,027","45yrs old,F,Married,2 beautiful daughters,Nurse,.D.J Karoake Host,from a large Roman Catholic family of Skeptics and Clairvoyants!"
,@MrsKnouff,Olivia Knouff,105,15,56,523,Registered Nurse Mommy & Wife Follower of Jesus
,@jmvtolentino,jm tolentino,107,33,218,"2,359",Father to Elvin/ Daddy for Eloisa/ Nurse/ Barista/ Singer/ Pole Dancer/ Kuracha/
,@dave_42,David Kinloch,186,19,40,"2,463","Nurse, musician, Scouter, philosopher, drinker"
,@VirginiaLeBaron,Virginia LeBaron,101,58,50,551,"Oncology palliative care nurse practitioner, post-doctoral research fellow, global cancer control advocate"
,@TheErikaJSoto,Erika Soto,119,280,779,469,"18 NYC Singer, guitarist, dancer, actress, artist. Future pediatric nurse Insta: @ErikaJSoto Music, love, and good vibes"
,@gray_danielle,danielle gray,114,30,112,"1,489",Married to my hs sweetheart. Mom to 4. FT nursing student. I see beauty and grace in most things. Live for what makes you heart sing_
,@cookielover2011,Melvina W.,139,69,157,"1,857","23 years old, mother of one, single, nursing student, if you wanna no more just ask:)"
,@wattsbran76,Brandy Watts,133,156,947,768,Nurse manager -sells Gold Canyon http://t.co/OFv7IAMXaN Love my family.
,@gemma_lj18,gemma johnson,106,19,65,"1,541","Registered nurse, occasional cake baker, avid scarf buyer."
,@Maidmalyan,Kathryn malyan,112,37,85,"1,097","vet nurse, mum, wife, and usually last in the queue for the tv box. :-)"
,@Lburner85,Lauren Willis,192,26,73,"1,077",The nurse. The thug. The intellectual
,@courtneydtee,Courtney Talley,181,24,45,196,INFP | Wannabe Nurse | Occasional Writer | Nocturnal Thinker | Coffee Drinker |
,@Steve_ITFC,Stephen Chandler,101,72,165,"1,707","Mad professor of science, Student nurse at UCS, HCA at the West Suffolk Hospital and St John Ambulance AFA :)"
,@hayscarver,Diane Hays,190,22,75,"1,745","i am an Advanced Practice Nurse, Clinical Nurse Specialist, and Certified Wound, Ostomy & Comtinence Nurse."
,@MichelleGodsell,Michelle G,194,65,188,"1,361","Registered Nurse, Clinical Manager"
,@SusannahCrush,Susie Crush,146,18,82,"1,270","21 year old Scottish nurse living and working in Cambridge :). Let's be real, the only reason i'm here it to tweet shit and creep ;)."
,@candilori85,Candice,177,10,50,"2,056","just being a wife, nurse and adult..."
,@SahwanMaliha,MaIiha Sahwan,131,195,802,"1,076",Nursing specialist in MOH in SMC in AKU
,@EColwell317,Emily Colwell,127,33,70,"1,211","USC Gamecock and Nursing Student, Patient Care Tech/Phlebotomist at Palmetto Richland Heart Hospital, country girl, loving life living it to the fullest :)"
,@idahoskipper,Andrea Gahl,156,48,99,"2,129","Mom, nurse, artist, motorsports fan, fashionista, gadfly,seeker of truth and beauty"
,@humsterchengjui,Ramie Kow,194,7,29,"1,337","I am a super busy nurse. Love books,movies and travelling. Interested in history and culture. Hope to backpack around the world one day."
,@__casxo,cas,141,20,16,"1,031",Casey.18.Hull and Peterborough.Student Nurse
,@eidtp,Eileen,184,34,48,"2,181","Nurse, graphic designer, wife, mother, grandmother. Passionate about wellness. Breast cancer survivor!"
,@Usha_research,Usha Menon,172,153,466,731,"Nurse Scientist, behavior change, dissemination/implementation science, global health. Professor & Associate Dean for Research & Global Advances"
,@matildamd,Marlene,118,21,43,"2,434","A Georgia Peach in SLC! Foodie, Traveler, Nurse Loving life with Ken"
,@torrihensley21,torri hensley,176,135,194,"1,581",Bethel Wildcat Softball; nursing; hunting ; believe in yourself and noone else. you are living your own life.
,@baplummer,Brent Plummer,174,100,164,"2,390",Graduate of University of Louisville Nursing. Huge UK fan and all things Kentucky and bourbon! #bourbonbrothers
,@tsinitaito11,rochelle ann,139,33,110,"2,175","Im Chelle,Proud to be a NURSE =)...want to know me more?follow me and ill follow back :)"
,@Geri_SpaTherapy,Spa Therapy by Geri,106,124,269,461,"Massage therapist and qualified nurse based in Romford, offering Swedish massage, Aromatherapy massage, Indian head massage and Hot Stone massage."
,@MsCandyLynn,Candy Hamilton,170,25,26,"2,404",a christain a wife a mother a nurse a student a sister a daugther an aunt a granddaughter and a great granddaughter a best friend
,@JohannaGeister,Johanna Geister,139,104,256,"1,121","Mom, MS, RN, Nurse Educator, Reiki master, Lifelong Learner, Lover of lax, swimming, yoga & the Buckeyes."
,@kategue_,Katie Gue,183,91,127,116,lover of life and iced coffee | nursing student | 21 |
,@docpao78,paola alvarez MD,112,131,560,"2,401","Mother, wife, daugther, friend, doctor, cook, nurse, maid, entertainer, listener, artist, driver,lover..."
,@JCDHorse,Jimmy Driver,133,22,69,"2,401",Nurse for over 30 years. 2012 retired and received the most precious grandson. Returned to loving the game and challenge of golf.
,@Kirkendoh1,Dareyla kirkendohl,185,149,231,539,"Christian, loves jesus, nursing school! G.W.W (rip) Bama fan roll tide ! Follow Me! 19 3 justin williams"
,@deel7077,Donilee Ambos,136,4,8,"1,702","Scuba Diver, Ladies of Harley Served in USAR Army Nurse Corp Gulf War Vet. Desert Shield/Desert Storm"
,@fairygirlzoe,Zoe Altringham,161,54,126,"1,982","small, tattooed, mental health nurse, lover of all things polka dot and stars :)"
,@crazymansteve,steven ayon,133,22,81,"1,350","Nurse in illinois, love takin the motorcycle out for a ride.. And hanging with my little buddy mr charlie"
,@SadieMoon81,Sarah Mooney,100,24,171,"2,005",Nurse at the moment but when I grow up I wana be a Kings of Leon groupie ;-p
,@Mamsy91,mamsy lekhalanyane,124,27,133,"1,269",A mom...Masilonyana News ..a Flight attendant..prof nursing student and an extrovert
,@ColsonTina,Tina Galloway,153,10,56,"1,227","I'm a nurse for sunshine home care, a mother, a nerd (lovers mmo games) my fav place is a hole n the wall bar n grill n love tats"
,@emmy_geek_chic,Emmy Wilson,179,33,57,"1,730","Well, what to say! I'm a nursing student & cheerleader who loves life! I'm a complete geek but still love fashion and partying alongside zombies and tattoos ;)"
,@tmj_NEO_NURSING,TMJ-NEO Nursing Jobs,138,319,285,"2,076","Follow this account for geo-targeted Healthcare-Nursing job tweets in Omaha, NE from TweetMyJobs. Need help? Tweet us at @TweetMyJobs!"
,@cathleenmrc,Cathleen Coward,106,12,54,"1,155","wife, school nurse, fan of everything Pittsburgh,"
,@pussycat0007,Cat Fernie,138,39,54,"2,448","Busy mum of 2, self employed Clinical Complementary Therapist for elderly in nursing homes and private clients, love my family, my pets and love to sing!"
,@orchmman,orch,189,20,33,649,ARE U MAN ENOUGH TO BE A NURSE?
,@jailerwife,nurse jenn-ay,179,24,83,"1,532","nurse and biker momma/queen bee to a crew of 36...facebook is for my good side, but i show my true colors on twitter."
,@kunlerystar,Oluwole Stephen,104,199,"1,989","1,782",A very gentle well reserved Nurse who will make the baby mama screamed for more!!
,@StudentNHSnurse,Student Nurse,162,757,618,"1,059",For student nurses around the UK who love the NHS and want to get links to interesting articles and have a chat about placements/ uni/ general nursing life!
,@BSACInurses,BSACInurses,181,130,45,595,"Nurses working in the field of atopic disease. Patient advocates. Working with global organisations, other health care professionals to improve allergy care."
,@michelleandrion,Michelle Diane,129,50,145,"2,251",hemodialysis nurse. daughter. sister. friend. loved. saved. disciple. God's princess.
,@Gabby_Calhoun_,Gabby Calhoun,146,2,62,505,"Nursing student, Health/Fitness lover, Peace and Love"
,@SENIORCITWIS,JANE ROBINSON,135,21,31,"2,304","retired public health nurse, pharm research quality control, consultant protection of human subject, retired elected official, grad.rutgers & uofp"
,@mariam3510,Maria McCabe,108,80,101,"2,162","Maria student mh nurse. From Belfast currently stydying in Dundee love ND and JM_ if you dream you can do it (et al Maria,1994)"
,@D_twEets_LOvely,Edible Danielle,142,32,1,"2,342","is a lady, sister, Nurse,best friend, lover and many other things that she is finding out everyday......"
,@chanGstahh,Lisa Chang,116,39,88,"1,702","Villanova Nursing Alumni- Georgetown Hospital RN. LOVE my fam and having crazy,good times with my insane friends. Work hard, party hard."
,@maha9299,maha,133,13,45,"1,146",**Hi my name is maha am 21years old ** **Am a nurse surgary **
,@cindy_thia09,Sindy Ibrahim,171,241,458,"1,062",I am the person who does Not to be taken seriously ... I was born in the month of December and the school as a nurse in the medical faculty ..
,@JennaLspencer,Jenna Spencer,105,20,97,357,Canadian 18ۢ Nursing student 19' ۢ Buy me greys anatomy scrubs and we can be friends
,@ErinMRowe,Erin M Rowe,129,25,77,"1,534",I live in small town Iowa. I'm going to to college nursing here in a few short sweet months.
,@Helemss,Helena,168,205,527,"2,082",Nurse . -The worst crime is faking it - Kurt Cobain 
,@kmcfarla77,Kelsey McFarland,195,40,124,"1,233",Nursing Major at Illinois Wesleyan University
,@sharon_boulton,sharon boulton,177,24,106,"1,651","busy, happy, wife,mum and student nurse who loves wine!"
,@LaurieLeopold,Laurie Leopold,108,65,223,785,"Wife, Boy-mom, Nurse & Aggie. Runner & DIY'er. Love Movies & Music. Master Organizer. I don't go by the rule book. I lead from the heart, not the head ~ Diana"
,@_KAlexis_,K R Y S T A L I N,159,212,215,"1,466","Beauty gets attention, Personality captures the heart. :) #TSU16 (Nursing Major) #CollegeGirl"
,@martinhow07,Martin How,151,17,29,610,"Psychology major, Nurse aid, Proud Tamaraw, food lover , certified happy person, party enthusiast, music enthusiast,"
,@iAmTherine,katherine de la cruz,128,8,62,"1,847",Registered Nurse/Medicine Student/Football Fan/Basketball Fan/RollandMuller/Fourth Powerpuff Girl
,@julianneDeRN,Julianne Corley,171,43,138,888,"Registered Nurse, Mom, Foster Mom for homeless pets. Love history, horses and traveling"
,@roisin_conde,Roisin Conde Wilcock,178,35,172,"2,408",Im 23..Qualified mental health nurse and newly married :)
,@crystal596,janice donald,140,41,109,"2,435",registered nurse for 35 years currently working within mental health. mother & gran
,@xxsweetpeax,Louise Smith,166,42,191,"2,369",Proud Jewess. Nurse. Mother.
,@Jylrox,Jylmarie Adam,190,28,137,813,living that nurse life!
,@tootiloo,Beth Goff,194,78,66,"1,741",19.Nursing Student.Saved by His grace.Belieber.Smile enthusiast.Coffee addict.ALWAYS singing. Movie freak.I love being me
,@Markleyjen,Jennifer Markley,111,5,8,"1,094","Blessed wife of a police officer, Mom of 3, unemployed nursing student, love to laugh and dance, learning new things everyday is AWESOME!!!"
,@missflame17b13,McKinley Norman,124,242,"1,170",413,"future flight nurse, student, past IVFA district 17B Miss Flame, Firefighter's daughter, southern Indiana, snapchat: firechick1016"
,@ElectroLaser_,Susan Nurse,129,1,1,412,"We all have unwanted hairs. Tweezing & waxing don't stop hair from growing, they're temporary fixes. LASER hair removal & electrolysis are permanent solutions"
,@SolCenterWest,SOL CENTER,115,56,43,"2,358","Darlene D LeVasseur, PhD Psychologist & Family Therapist, Art Therapist, Doctor of Musical Arts, Master Nurse, Master Physical Therapist, Nutritionist,"
,@colleenshear,Colleen,125,19,72,"1,182","Hi! Im colleen shear. I live in FL with my wonderful husband, jared, and my awesome kids, blake and elly. I am a labor and delivery nurse locally."
,@naturaldogcare,elizabeth bentley,137,251,336,"2,254","I am a nurse keenly interested in, experiencing the presence of god, animal welfare,."
,@RheavenRhonda,Rhonda Roberts,119,5,30,285,"Retired Nurse, Psychic Medium, Light Worker"
,@chinggaycruz,chinggay cruz,158,24,81,"1,373","nurse...people person..loves to have fun,her friends,to dine,travel and be in style!!!"
,@jenilpn99,Jennifer Hileman,130,14,250,"1,725","Imma nurse n mom of 3 girls. Likes: racing, most music, Dislikes stupidity, arrogance. Im honest n unfiltered. Take it or leave it..."
,@Little59,Lesley Little,125,36,543,"2,470",Intense Sister of the nurse variety
,@gharcygarcia,Christina Garcia,146,24,176,"1,188","hi. I'm Christine, a registered nurse, cool, relax,.. ..... frown. and you frown alone, but SMILE and the whole world will smile with you"
,@GeekyScienceLo,Lauren Lo Eversole,131,31,83,"1,236","31, Mom of 3, Nurse, Physics Student, Vegetarian/Vegan Activists and Explorer of the Universe."
,@Jaine_G80,jaine,132,51,309,"1,240",im a proud mummy of 2 gorgeous boys. when im not a mummy im a nurse looking after poorly babies and children
,@NHSGnm,NHSGN&M;,176,148,153,243,NHS Grampian Nurses and Midwives
,@MCR_Nurse,Amanda_AQuA,174,155,267,"1,102",Nurse & quality improvement advisor for AQuA. Passionate about patient care & safety. Proud to work for the NHS. Views and affiliations are my own.
,@NerdNurseAmanda,Nerd Nurse Amanda,198,27,188,789,Just a nerdy nurse
,@TiffanyBond7211,Tiffany Bond,200,45,49,"2,392","I'm a Mother, Wife, Nerium Independent Brand Partner and Registered Nurse"
,@ZoalaukZoe,Zoe,151,46,274,384,Stressed nurse. professional wine drinker.
,@MaggieJ20,Maggie J,116,19,35,955,"Married with two sons, retired nurse and now pastoral care worker. Like gardening and cooking."
,@fittofab,Fitness princess ,165,162,484,"1,107",CW-160 GW1-150 GW2-135. UGW-120 Trying to lose weight and get fit the healthy way all while being a nursing major #fitfam
,@s__sanborn,Sarah Sanborn,198,26,43,"1,189","Family, friends, work, and nursing school consume my life. When the opportunity arises, I travel."
,@Burtonius85,Nicholas Burton,149,13,60,436,"Veteran, Nurse, Professional Spoons Player"
,@LindaDyrda,Linda Dyrda,174,30,130,"2,388",Hard working counsellor and nurse who lives in Darlington. Ispecialise in bereavement counselling and those with long term illnesses and life limiting illnesses
,@tpinurse7,Health and Wellness,172,76,149,532,"Nutritional Health and Wellness Coach, Registered Nurse"
,@MomRaccosta,maryann raccosta,175,7,58,439,"Author, Speaker, Nurse Aide, Sub-Teacher, Special-Needs Advocate"
,@anchoykoh,Kris Anne,148,41,264,"1,173",Music lover|Frustrated singer|Feeling dancer|Angelenean|Public Servant|Nurse.. :))
,@Jock1401,Jock Bill,195,104,346,"1,680","Nurse, work hard, play hard!"
,@ThingsMavSays,Sarah Garson,136,66,170,"1,349","Mom to Mav and Bran, nursing student, lover of geekdom and wine."
,@AliRS63,Alison Scott,127,115,130,"1,224","Nurse & mum, all views my own."
,@DatinguinooMary,MajuuyToTheWorld,171,30,41,108,Nursing Student Deo's 
,@jeanlorsen,Jean Lorsen,190,17,36,"2,141",I am a student and want to become a nurse someday and hekp others.
,@Bisig_2001,Bisig UST Nursing,153,117,114,"1,161","Binuklod ng Isip, Sipag at Galing. Continuing the Legacy of Excellent Thomasian Service. Founded: December 8, 2001 UST College of Nursing"
,@enz_cute,eNz villanueva,100,37,323,"2,250","Simple woman with a big heart, cute nurse , dancer , guitarist.."
,@ezabad,eric seminiano,170,29,342,"1,855","NURSE,PUNK MUSIC AND TSHIRTS"
,@SilkyNurse,Silky Nurse,152,70,135,391,
,@wwwRNorg,RN.org,103,176,31,"2,665",Computer / Nursing / Heathcare Consultant / RN / Registered Nurse / Linux Geek / Network Geek
,@SchankNicole,Nicole,101,36,167,900,"Registered Nurse. U of MN graduate. Fun, charismatic, and loving. All about the Live, laugh, love _"
,@GeraintField,Geraint Field,149,63,331,"1,209","Divisional Manager & Registered Manager (CSSIW) of the Nursing Agency, MPS Healthcare - My views are my own & retweets not an endorsement #mpsnurses"
,@salclarkey,sally clarke,141,18,50,"1,975","Married with 2 grown up children and 2 grown up stepchildren. Dental Nurse in Bromley, Kent."
,@Alliebaba7,Allison Bertman,108,19,65,804,"I'm a mom , a nurse , a cook , and a trailblazer. I love photography, music and relaxing at the beach at sunset."
,@FoggiaMichelle,Michelle,168,16,210,684,Hey all! Just here for entertainment purposes only. I will post a lot of nursing jokes/info because my life revolves around my career at this point in my life
,@laurenn_2909,Lauren Griffiths,115,84,84,"1,456","Im Lauren, im 24 and im a fertility nurse. Live life with no regrets. Love my job and my life. I have gorgeous son theo. Good day all :-p"
,@specialkattchr,Katarina,136,8,8,"1,908","adventurous nurse...love to cook/bake, hike...love anything paranormal...love scary movies...avid animal lover/activist..."
,@RizkinaQuintana,Muhammad Reza Rizki,112,58,72,946,Banda Aceh/8 November 1991 | Nursing Faculty Syiah Kuala University (2010) | Manchester United FC | Position: Goalkeeper | GK Career: 2011- Now
,@ashleyc1515,Ashley Clarke,150,175,147,"1,238",Nursing student and cheerleader at Memorial University!
,@Celibate17,Chrstina Englyshe,151,22,136,368,being a nurse is de best i hoping for..and it shall be
,@vsouthernrn,Valerie Lewis,127,12,53,261,I'm a single mom to a really great kid and thats ok because she is the best thing i've ever done. Oh and I do this thing called nursing too
,@rtrdued,Raina,184,7,25,"1,513",nurse practitioner ca harborview suffolk lourdes medical odessy healthcare
,@NurseNaldrett,Tina Naldrett,135,32,69,258,"A senior nurse in the NHS, with a passion for appreciating the good practice around her, and helping this to thrive. Still enjoying living in Devon."
,@Kbadesha,Karm Badesha-Aujla,149,15,129,"2,356","a mother, a wife, a daughter, a nurse, a proud independant woman"
,@Seershashamanka,Seersha Shamanka,120,"1,593","1,749","1,481","Shamanic Practioner,Witch,Crystal Healing practioner, Lightworker,Crafter,Dancer,Drummer,Artist,Writer, Nurse,Mother,Empowerer,Positive Celebrator of life."
,@AustinSimpson8,Austin Simpson,103,18,169,"1,193","I would love to be a nurse, to help people would be the ultimate grace. As humans we posses the ability to care for one another, that is what makes us human."
,@mmranch077,Lorretta Johnson,130,24,20,"2,392","retired nurse, gentle wild horses"
,@naiff1268, __,189,847,"1,438",769,' _ ⯵_ ' 4th year in nursing college_ UOH Hail
,@Triwinda_s,Tri winda s,113,61,165,"1,357",Nurse's Student in Medical College of Muhammadiyah Lamongan - S1 Nursing.
,@BillyRSimp,Billy Simp,172,61,135,"1,128","travel nurse from NC to AZ. can't even with fitness, and it shows. loves traveling...long distances.. down the street.. to the speak easy. #murse"
,@bosombuddybaker,Gemma Wilson,167,42,94,88,Bosom Buddy Bakers is a Vancouver based lactation cookie and treat bakery. We support breastfeeding/nursing moms and moms on the go!
,@artgrljan,Jan Mardis,149,290,"1,220",422,"true southern woman, who loves the heat, sun, beach, boots, bracelets, dogs, a great glass of wine. Hotty Totty for SE C football. Nurse an Artist."
,@Putri_syalia,Syalia A.,104,158,65,"1,385","GOD. ۢ Family. ۢ My bibb @Yogi_oktavianda. _i'm Nurse. _The hospital is my second home,, Patient is also for my family. (^_^)-_"
,@berge1985,Adrienne B. Bajwa,124,44,148,"1,474",Nurse and wannabe yogi
,@dirahanani,dyrah hanani,143,104,103,"2,048",jom follow nursing :D
,@myabobby81_lyns,Lyns,156,24,"1,478",583,"I have 2 little angels & 1 big 1. Adore my job as a kids _cardiac nurse at Alder Hey been there over 12yrs love the kids, families but detest the politics xxx"
,@DrugConsultants,DCI / NCI,147,47,0,"2,074","Pharmacy, Nursing and Allied Health Staffing."
,@jennsjazz2,Jennifer Baker,158,44,114,"2,437","Mother. Nurse. Conqueror. Shielder and Protector. Most of all, a Believer!"
,@BigShawna,Shawna Lauzon,112,12,41,"1,304","im not really big... im a nursing student who is having an identity crisis, i dont know what race i am!!!! S.O.S"
,@ScottBreee,breeee,173,71,65,268,Califuckinfornia ۢ Nurse in training
,@_lovemeorloveme,Cindy,136,26,105,"2,466",Registered nurse. Aspiring midwife. Social justice. Wannabe photographer. Quirky goofball.
,@PamFruechting,Pam Fruechting,177,22,20,"2,102","Nurse practitioner, PhD candidate (orphan well-being). Adjunct faculty @Georgetown. Author @orphanhealth & @nursing_phil Married to Mr. Wonderful."
,@simarieb,Signe Bandlien,141,120,299,"1,348","Programme Advisor @fredskorpset, Health, Education and Human Rights, Neonatal Nurse, Activist @AmnestyInternational, Reader, Contemporary Art"
,@mitchmitchyness,Mitchy,192,22,96,162,A princess who wears her invisible crown . Full time Trainer and a Registerd Nurse. Sharing good vibes always...
,@ashleyh682,Ashley Hickmon,171,20,120,196,Hey yall I'm Ashley :). I'm in nursing school. I love going to church. I'm just an overall chilled and laid back girl. Happy Tweeting
,@onlybyhisgrace8,Krystal Ronning,182,30,304,"2,370","Love Jesus. Mum to Aidan. Student Midwife. Nurse. Love life, Love YOU!"
,@simonbrown84,Simon Brown,103,84,114,605,Hospital Inspector and Registered Nurse
,@CantStopMeJenna,Jenna Scheerer,139,66,23,"1,669",I'm an RN at the Cleveland Clinic... But that will soon stand for Retired Nurse. YWF! Romans 8:37
,@RebaFan_09,Brittany Copeland,135,13,50,"1,993",Aunt to the 2 cutest nieces and most handsome little nephew. Going to college to become a Registered Nurse. Huge Fan of Reba McEntire! Love her!
,@sleepyRN97,Anastacia Kontz,148,18,306,"1,857",25 years old. NICU Nurse. Horror Movie Fanatic. Music Lover. Gamer. Best Car Singer in the USA. Writer.
,@betYouAndCherry,Cherry Yutuc,107,110,167,"1,621","A wife, blogger, nurse, researcher, writer, frustrated singer and dancer."
,@tayler_eder,Tayler Eder,181,41,49,"1,142",20. Future labor and delivery nurse.
,@nurse_noel,Nurse noel,139,29,21,932,"Health and Wellness promoter, Writer, TV host, Health professional who loves life, laughs and love."
,@silweum,Sharon Chung Siew,200,16,34,"1,863","Born in 1988,girl,graduated with Diploma in Nursing. Work in Singapore! Loves everything related to emergency-department,rescue,ambulance,BLOOD!!!~"
,@JasonHarrisFNP,Jason Harris,128,28,61,"2,508","I am an ER Nurse Practitioner, have an amazing partner and a blessed life!"
,@KekeMinahasa,Anjani Tendeken,121,35,75,836,I'm Nurse @RSI Sitti Maryam |LuvMyfamilly |I'mSingle & _ IsmyGod
,@Mayo4ever82,Marjolein Neef,144,40,55,"1,820","ER nurse, Dutch, loves to dance, music and adventures...This year is all about Aruba :)"
,@CurrieKay,Kay Currie,139,75,57,212,"Professor of Nursing, interested in improving patient experience through research & education. Director, WHO Collaborating Centre for Nursing. Zumba enthusiast!"
,@ennaxor11,roxie evidente,117,94,729,"1,852",Beach Lover | Passionate Nurse | Party is my Lifeۢ
,@ThtOneNurseGirl,Kelley Oster,145,28,65,759,"Just a loving, stubborn, outgoing, hard-headed, nurse whose living the life with her wonderful man and crazy kitties."
,@mbenz59,Kelly Eydgahi,103,52,92,"2,353","In love with the Lord, Registered Nurse - life is crazy busy, but God sustains me! Love the Lord with all my heart, love my family and friends too."
,@MickDoyleFG,Michael Doyle,122,329,638,623,35 year old Fine Gael County Councillor for Kilkenny City East district. Healthcare Assistant in Gowran Abbey nursing home. Hurling mad. All views my own
,@rblake610,Robin Blake,116,41,148,"2,283","Mother to 3 wonderful children, engaged, nursing student. I enjoy going to pow wows & love my pow wow Family"
